Currently,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,,,C,M,T,W,Xm,Xw,Y,Tot,,days,per day,
7-Aug,M17,0,1,0,0,0,0,0,4-Sep,,22-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
17-Aug,M12,0,1,0,0,0,0,0,14-Sep,,22-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,M18,0,1,0,0,0,0,0,19-Sep,,23-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
23-Jul,W11,0,0,0,1,0,0,0,20-Aug,,24-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
23-Jul,W15,0,0,0,1,0,0,0,20-Aug,,24-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
17-Aug,M35,0,1,0,0,0,0,0,14-Sep,,24-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,M30,0,1,0,0,0,0,0,19-Sep,,24-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,C16,1,0,0,0,0,0,0,25-Jul,,27-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,W01,0,0,0,1,0,0,0,25-Jul,,27-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,Y03,0,0,0,0,0,0,1,25-Jul,,27-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-July,Y14,0,0,0,0,0,0,1,25-Jul,,27-Aug,,,Associated contact data and Lock number    ,,,Lock #67,,,,,,,,,,,,,,,,,,,,
13-Jul,M09,0,1,0,0,0,0,0,10-Aug,,27-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
13-Jul,M27,0,1,0,0,0,0,0,10-Aug,,27-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,Y01,0,0,0,0,0,0,1,22-Aug,,27-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
30-April,M02,0,1,0,0,0,0,0,28-May,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-May,C08,1,0,0,0,0,0,0,6-Jun,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-May,M22,0,1,0,0,0,0,0,6-Jun,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-May,Y10,0,0,0,0,0,0,1,6-Jun,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,Y02,0,0,0,0,0,0,1,22-Jun,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,XM07,0,0,0,0,1,0,0,6-Jul,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,XM11,0,0,0,0,1,0,0,6-Jul,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
3-Jul,Y17,0,0,0,0,0,0,1,31-Jul,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
13-Jul,Y05,0,0,0,0,0,0,1,10-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,C17,1,0,0,0,0,0,0,15-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,C21,1,0,0,0,0,0,0,15-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,C23,1,0,0,0,0,0,0,15-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,M11,0,1,0,0,0,0,0,15-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,M13,0,1,0,0,0,0,0,15-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,T11,0,0,1,0,0,0,0,15-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,W16,0,0,0,1,0,0,0,15-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,Y06,0,0,0,0,0,0,1,15-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,M31,0,1,0,0,0,0,0,15-Aug,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,T02,0,0,1,0,0,0,0,22-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
