,,,Avail (I),Rep (K),Test ( P),Loan O,Hold,Scrap,MIA  s,Given,,Repair,,Test,,Loan,,Hold,,Scrap,,MIA,,GIVEN,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,S,M,G,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,,,,,,,,,,,,,,,,,,,,,,
,,,,,T,L,H,,,,,,,,,,,,,,,,,,,,,,
